category,round,player_a_rank,player_a,score,player_b,player_b_rank,duration_minutes,category_code,category_label
MD (qual),Round 1 Qualification,,Yang Rui OU / Run Jie WANG,21-6 / 21-13,Quan Fen CHEN / Li Kai XU,,24,MD,Men's Doubles
MD (qual),Round 1 Qualification,,HU Ke Yuan / LIN Xiang Yi,21-9 / 21-13,YAO Zhidi / ZHANG Nan,,28,MD,Men's Doubles
MD (qual),Round 1 Qualification,,LIAO Pin Yi / MA Xi Xiang,21-14 / 21-18,LIN Yi / Jia Zhuo YANG,,33,MD,Men's Doubles
MD (qual),Round 1 Qualification,,GAO Zhen Qing / ZHANG Kun Zhong,21-19 / 21-15,Zi Heng LI / Jia He XU,,32,MD,Men's Doubles
MD (qual),Round 1 Qualification,,LIU Cheng Ming / MAO Shi Cheng,21-18 / 21-16,Jingtong CHEN / Jhonatan WU ZHENG,,27,MD,Men's Doubles
MD (qual),Round 1 Qualification,,CHEN Yong Rui / CHEN Zhe Han,21-19 / 21-12,DENG Cheng Hao / FAN Jun Lin,,27,MD,Men's Doubles
MD (qual),Round 1 Qualification,,TANG Chun Man / YEUNG Shing Choi,21-9 / 21-9,Hao Xiang YU / Yu Han ZHANG,,23,MD,Men's Doubles
MD (qual),Round 1 Qualification,,XU Hua Yu / ZHANG Le Jian,21-14 / 21-14,Hung Ming CHEN / Cheng Han TSAI,,28,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,HU Ke Yuan / LIN Xiang Yi,21-19 / 21-16,Yang Rui OU / Run Jie WANG,,34,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,LIAO Pin Yi / MA Xi Xiang,21-16 / 15-21 / 21-13,GAO Zhen Qing / ZHANG Kun Zhong,,40,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,CHEN Yong Rui / CHEN Zhe Han,21-8 / 21-15,LIU Cheng Ming / MAO Shi Cheng,,20,MD,Men's Doubles
MD (qual),Quarter-final Qualification,,TANG Chun Man / YEUNG Shing Choi,18-21 / 21-18 / 21-15,XU Hua Yu / ZHANG Le Jian,,52,MD,Men's Doubles
MD,Round 1,,Rahmat HIDAYAT / Yeremia Erich Yoche YACOB,21-13 / 7-21 / 21-14,DENG Hao Xuan / XU Jia Jun,,40,MD,Men's Doubles
MD,Round 1,,CHEN Yong Rui / CHEN Zhe Han,21-18 / 21-14,HUNG Kuei Chun / LUI Chun Wai,,33,MD,Men's Doubles
MD,Round 1,,TAN Qiang / YU Jiahao,21-17 / 21-18,PUI Chi Chon / Pang Fong PUI,,23,MD,Men's Doubles
MD,Round 1,,CHOI SolGyu / GOH V Shem,21-17 / 18-21 / 21-16,BOON Xin Yuan / Yi Bo LEE,,61,MD,Men's Doubles
MD,Round 1,,Kazuki SHIBATA / Naoki YAMADA,21-17 / 21-13,LEE Chang Lung / YANG Ming-Tse,,33,MD,Men's Doubles
MD,Round 1,,CHAN Yueh Lin / CHU Bo Rong,21-17 / 15-21 / 21-13,Cheng CHEN / LIN Shang Kai,,48,MD,Men's Doubles
MD,Round 1,,CHEN Xujun / GUO Ruohan,21-19 / 21-11,BEH Chun Meng / Jian Sheng CHOI,,39,MD,Men's Doubles
MD,Round 1,,LAU Yi Sheng / Tze Jian LIM,21-12 / 21-16,Yu Hsiang CHOU / Po Chih YANG,,30,MD,Men's Doubles
MD,Round 1,,HU Ke Yuan / LIN Xiang Yi,21-15 / 21-18,LIAO Pin Yi / MA Xi Xiang,,32,MD,Men's Doubles
MD,Round 1,,Eng Keat Wesley KOH / Junsuke KUBO,18-21 / 21-19 / 21-19,Bo-Yuan CHEN / TSENG Min Hao,,61,MD,Men's Doubles
MD,Round 1,,LAI Po Yu / TSAI Fu Cheng,10-21 / 21-17 / 21-11,Chia Yen LIN / LIN Yong Sheng,,44,MD,Men's Doubles
MD,Round 1,,BAO XIN Da Gu La Wai / Tzu Hung CHIU,18-21 / 22-20 / 21-18,Chaloempon CHAROENKITAMORN / Worrapol THONGSA-NGA,,58,MD,Men's Doubles
MD,Round 1,,LU Ching Yao / WEI Chun Wei,21-11 / 21-17,HUANG Tsung-I / LIN Ting-Yu,,30,MD,Men's Doubles
MD,Round 1,,Kakeru KUMAGAI / Hiroki NISHI,16-21 / 21-10 / 21-7,Yi Fan LIN / MA Shang,,45,MD,Men's Doubles
MD,Round 1,,CHENG Kai Wen / LIAO Chao Pang,21-10 / 21-9,Dickon KHOO / LYE Jun Cheng,,22,MD,Men's Doubles
MD,Round 1,,CUI He Chen / PENG Jian Qin,21-16 / 20-22 / 21-12,TANG Chun Man / YEUNG Shing Choi,,54,MD,Men's Doubles
MD,Round 2,,CHEN Yong Rui / CHEN Zhe Han,16-21 / 21-14 / 21-13,Rahmat HIDAYAT / Yeremia Erich Yoche YACOB,,50,MD,Men's Doubles
MD,Round 2,,CHOI SolGyu / GOH V Shem,21-18 / 21-15,TAN Qiang / YU Jiahao,,29,MD,Men's Doubles
MD,Round 2,,Kazuki SHIBATA / Naoki YAMADA,24-22 / 21-18,CHAN Yueh Lin / CHU Bo Rong,,39,MD,Men's Doubles
MD,Round 2,,LAU Yi Sheng / Tze Jian LIM,21-19 / 15-21 / 21-17,CHEN Xujun / GUO Ruohan,,58,MD,Men's Doubles
MD,Round 2,,HU Ke Yuan / LIN Xiang Yi,21-15 / 21-18,Eng Keat Wesley KOH / Junsuke KUBO,,37,MD,Men's Doubles
MD,Round 2,,LAI Po Yu / TSAI Fu Cheng,21-11 / 21-16,BAO XIN Da Gu La Wai / Tzu Hung CHIU,,25,MD,Men's Doubles
MD,Round 2,,LU Ching Yao / WEI Chun Wei,21-19 / 21-9,Kakeru KUMAGAI / Hiroki NISHI,,35,MD,Men's Doubles
MD,Round 2,,CHENG Kai Wen / LIAO Chao Pang,21-18 / 22-20,CUI He Chen / PENG Jian Qin,,36,MD,Men's Doubles
MD,Quarter-final,,CHEN Yong Rui / CHEN Zhe Han,21-15 / 21-17,CHOI SolGyu / GOH V Shem,,38,MD,Men's Doubles
MD,Quarter-final,,Kazuki SHIBATA / Naoki YAMADA,21-17 / 21-12,LAU Yi Sheng / Tze Jian LIM,,33,MD,Men's Doubles
MD,Quarter-final,,HU Ke Yuan / LIN Xiang Yi,18-21 / 21-15 / 21-18,LAI Po Yu / TSAI Fu Cheng,,57,MD,Men's Doubles
MD,Quarter-final,,CHENG Kai Wen / LIAO Chao Pang,21-23 / 21-13 / 22-20,LU Ching Yao / WEI Chun Wei,,63,MD,Men's Doubles
MD,Semi-final,,CHEN Yong Rui / CHEN Zhe Han,17-21 / 21-16 / 21-15,Kazuki SHIBATA / Naoki YAMADA,,70,MD,Men's Doubles
MD,Semi-final,,HU Ke Yuan / LIN Xiang Yi,21-18 / 21-12,CHENG Kai Wen / LIAO Chao Pang,,33,MD,Men's Doubles
MD,Final,,CHEN Yong Rui / CHEN Zhe Han,23-21 / 21-15,HU Ke Yuan / LIN Xiang Yi,,42,MD,Men's Doubles
MS (qual),Round 1 Qualification,,SUN Chao,21-14 / 21-14,TAN Kean Wei,,30,MS,Men's Singles
MS (qual),Round 1 Qualification,,Aris KATTIRTZI,W.O.,Tanongsak SAENSOMBOONSUK,,0,MS,Men's Singles
MS (qual),Round 1 Qualification,,Hing Long WONG,20-22 / 21-18 / 21-14,KUO Li-Chun,,62,MS,Men's Singles
MS (qual),Round 1 Qualification,,Chung-Hsiang YIH,21-14 / 21-19,AO Fei Long,,33,MS,Men's Singles
MS (qual),Round 1 Qualification,,ZENG Yi Fan,21-9 / 21-6,Yi LIU,,27,MS,Men's Singles
MS (qual),Round 1 Qualification,,PAN Yin Long,21-7 / 21-14,Yansong ZHAO,,22,MS,Men's Singles
MS (qual),Round 1 Qualification,,ZHANG Ning,21-11 / 21-11,Ratchaphol SRITHONG,,31,MS,Men's Singles
MS (qual),Round 1 Qualification,,PUI Chi Chon,21-5 / 21-7,CHUN KAR LUNG,,16,MS,Men's Singles
MS (qual),Round 1 Qualification,,Lai Yin CHUNG,21-11 / 19-21 / 21-14,Hong Wei TAN,,51,MS,Men's Singles
MS (qual),Round 1 Qualification,,OOI Yi Ping,21-16 / 23-21,Zong Han LEE,,32,MS,Men's Singles
MS (qual),Round 1 Qualification,,YUNG King To,21-3 / 21-7,Jingtong CHEN,,17,MS,Men's Singles
MS (qual),Round 1 Qualification,,AWAN Usman,21-18 / 21-10,WANG Yuehang,,30,MS,Men's Singles
MS (qual),Round 1 Qualification,,YANG Pei Yi,21-10 / 21-10,KONG Zhou Swin,,31,MS,Men's Singles
MS (qual),Round 1 Qualification,,Zhe Ying WU,21-5 / 21-6,Haoxuan XIA,,22,MS,Men's Singles
MS (qual),Round 1 Qualification,,ZHOU Xin Yu,21-12 / 21-13,Pranav Rao GANDHAM,,36,MS,Men's Singles
MS (qual),Round 1 Qualification,,CHEN Wen Jie,21-9 / 21-15,Jhonatan WU ZHENG,,26,MS,Men's Singles
MS (qual),Round 2 Qualification,,SUN Chao,21-7 / 21-8,Aris KATTIRTZI,,28,MS,Men's Singles
MS (qual),Round 2 Qualification,,Chung-Hsiang YIH,13-21 / 21-18 / 17-9 Ret.,Hing Long WONG,,54,MS,Men's Singles
MS (qual),Round 2 Qualification,,ZENG Yi Fan,21-16 / 21-23 / 22-20,PAN Yin Long,,81,MS,Men's Singles
MS (qual),Round 2 Qualification,,ZHANG Ning,21-5 / 21-10,PUI Chi Chon,,20,MS,Men's Singles
MS (qual),Round 2 Qualification,,OOI Yi Ping,21-15 / 13-21 / 21-17,Lai Yin CHUNG,,50,MS,Men's Singles
MS (qual),Round 2 Qualification,,AWAN Usman,21-14 / 21-23 / 21-9,YUNG King To,,48,MS,Men's Singles
MS (qual),Round 2 Qualification,,Zhe Ying WU,13-21 / 21-18 / 21-17,YANG Pei Yi,,58,MS,Men's Singles
MS (qual),Round 2 Qualification,,ZHOU Xin Yu,21-14 / 22-20,CHEN Wen Jie,,47,MS,Men's Singles
MS,Round 1,,DONG Tian Yao,21-3 / 21-7,CHEN Chi Ting,,29,MS,Men's Singles
MS,Round 1,,Yudai OKIMOTO,21-7 / 21-10,LEE Samuel,,33,MS,Men's Singles
MS,Round 1,,LIU Liang,21-9 / 21-13,HUAN Kai Hern,,32,MS,Men's Singles
MS,Round 1,,HU Zhe An,21-15 / 21-19,HUANG Yu,,47,MS,Men's Singles
MS,Round 1,,ZHOU Xin Yu,21-15 / 21-16,TING Yen-Chen,,45,MS,Men's Singles
MS,Round 1,,ZENG Yi Fan,21-17 / 19-21 / 21-13,MA Cheng-Yi,,65,MS,Men's Singles
MS,Round 1,,LIU Yu Xuan,18-21 / 21-10 / 21-19,Wei-Cheng SU,,58,MS,Men's Singles
MS,Round 1,,AWAN Usman,21-13 / 21-13,OOI Yi Ping,,24,MS,Men's Singles
MS,Round 1,,CHAN Yin Chak,21-9 / 21-8,Kiran Kumar MEKALA,,24,MS,Men's Singles
MS,Round 1,,Cheng-Han TSAI,21-11 / 21-8,Sam YUAN,,26,MS,Men's Singles
MS,Round 1,,ZHAO Junpeng,21-13 / 21-16,Zhe Ying WU,,30,MS,Men's Singles
MS,Round 1,,CHENG Kai,13-21 / 21-10 / 21-14,Dumindu ABEYWICKRAMA,,39,MS,Men's Singles
MS,Round 1,,WANG Zi Jun,21-12 / 21-12,ZHU Xuan Chen,,39,MS,Men's Singles
MS,Round 1,,Pang Fong PUI,21-18 / 12-21 / 21-8,Bharath LATHEESH,,46,MS,Men's Singles
MS,Round 1,,WANG Yu-Kai,21-12 / 21-10,Kai Chen TEOH,,29,MS,Men's Singles
MS,Round 1,,ZHANG Ning,21-15 / 21-7,Zhen Yi ONG,,38,MS,Men's Singles
MS,Round 2,,DONG Tian Yao,21-11 / 21-12,CHEAM June Wei,,32,MS,Men's Singles
MS,Round 2,,Yudai OKIMOTO,19-21 / 21-13 / 21-13,Chung-Hsiang YIH,,78,MS,Men's Singles
MS,Round 2,,LIU Liang,21-13 / 21-17,NGUYEN Hai Dang,,39,MS,Men's Singles
MS,Round 2,,HU Zhe An,21-12 / 21-11,Eon EOGENE EWE,,38,MS,Men's Singles
MS,Round 2,,ZHOU Xin Yu,21-10 / 21-16,Yohanes Saut MARCELLYNO,,43,MS,Men's Singles
MS,Round 2,,KOK Jing Hong,21-11 / 21-23 / 22-20,ZENG Yi Fan,,61,MS,Men's Singles
MS,Round 2,,KUO Kuan Lin,21-12 / 21-10,LIU Yu Xuan,,36,MS,Men's Singles
MS,Round 2,,Xiaodong SHENG,21-16 / 21-14,AWAN Usman,,37,MS,Men's Singles
MS,Round 2,,SUN Chao,21-15 / 21-11,CHAN Yin Chak,,32,MS,Men's Singles
MS,Round 2,,HUANG Yu Kai,21-17 / 10-21 / 21-12,Cheng-Han TSAI,,48,MS,Men's Singles
MS,Round 2,,Moh. Zaki UBAIDILLAH,21-16 / 21-16,ZHAO Junpeng,,34,MS,Men's Singles
MS,Round 2,,CHENG Kai,21-9 / 22-24 / 21-10,LE Duc Phat,,53,MS,Men's Singles
MS,Round 2,,WANG Zi Jun,21-6 / 21-13,Korakrit LAOTRAKUL,,42,MS,Men's Singles
MS,Round 2,,Pang Fong PUI,21-19 / 21-17,HUANG Ping-Hsien,,49,MS,Men's Singles
MS,Round 2,,LU Chia Hung,21-16 / 16-21 / 21-9,WANG Yu-Kai,,47,MS,Men's Singles
MS,Round 2,,Aidil Sholeh ALI SADIKIN,9-21 / 21-16 / 21-16,ZHANG Ning,,57,MS,Men's Singles
MS,Round 3,,DONG Tian Yao,21-18 / 21-16,Yudai OKIMOTO,,55,MS,Men's Singles
MS,Round 3,,HU Zhe An,21-14 / 18-21 / 21-9,LIU Liang,,56,MS,Men's Singles
MS,Round 3,,ZHOU Xin Yu,21-18 / 22-24 / 21-19,KOK Jing Hong,,78,MS,Men's Singles
MS,Round 3,,KUO Kuan Lin,21-10 / 21-13,Xiaodong SHENG,,38,MS,Men's Singles
MS,Round 3,,SUN Chao,21-10 / 16-21 / 21-16,HUANG Yu Kai,,56,MS,Men's Singles
MS,Round 3,,CHENG Kai,21-19 / 21-14,Moh. Zaki UBAIDILLAH,,37,MS,Men's Singles
MS,Round 3,,WANG Zi Jun,23-21 / 21-15,Pang Fong PUI,,46,MS,Men's Singles
MS,Round 3,,Aidil Sholeh ALI SADIKIN,21-10 / 21-18,LU Chia Hung,,31,MS,Men's Singles
MS,Quarter-final,,HU Zhe An,21-19 / 21-13,DONG Tian Yao,,50,MS,Men's Singles
MS,Quarter-final,,ZHOU Xin Yu,21-16 / 21-13,KUO Kuan Lin,,41,MS,Men's Singles
MS,Quarter-final,,SUN Chao,21-18 / 21-12,CHENG Kai,,32,MS,Men's Singles
MS,Quarter-final,,Aidil Sholeh ALI SADIKIN,21-19 / 21-17,WANG Zi Jun,,49,MS,Men's Singles
MS,Semi-final,,ZHOU Xin Yu,8-21 / 21-18 / 21-16,HU Zhe An,,66,MS,Men's Singles
MS,Semi-final,,SUN Chao,13-21 / 21-19 / 21-18,Aidil Sholeh ALI SADIKIN,,71,MS,Men's Singles
MS,Final,,SUN Chao,21-15 / 21-17,ZHOU Xin Yu,,49,MS,Men's Singles
WD (qual),Round 1 Qualification,,Jin En PANG / Zi Yi QIAN,21-15 / 21-9,Weng Chi NG / PUI Chi Wa,,28,WD,Women's Doubles
WD (qual),Round 1 Qualification,,LI Jiajia / Xin Ran LI,21-19 / 21-18,Yun Jung CHANG / Chiao En YU,,34,WD,Women's Doubles
WD (qual),Round 1 Qualification,,QIN Tian Yue / WANG Yu Yan,21-10 / 21-4,Yue Ling HUANG / Yu Yuan LI,,25,WD,Women's Doubles
WD (qual),Round 1 Qualification,,BAI Wan Qian / Ke Xin XIE,21-9 / 21-11,HSIEH Yun-Shan / Siang Syuan LIN,,21,WD,Women's Doubles
WD (qual),Round 1 Qualification,,Hinata SUZUKI / An UESUGI,21-14 / 21-12,ZHANG Wen Xiao / ZHENG Lan,,35,WD,Women's Doubles
